프로젝트번호,출도부서,과제번호,도면명,출도일자,출도번호,근원부서,원인코드,코드명
P3,D301,DPT4275,DNAME1835,2019-06-15,DPT427520190615,D301,R17,RNAME14
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D62,DPT4720,DNAME1847,2019-08-02,DPT472020190802,D57,R14,RNAME10
P3,D73,DPT4746,DNAME1830,2019-08-03,DPT474620190803,D73,R16,RNAME5
P3,D73,DPT4746,DNAME1830,2019-08-03,DPT474620190803,D73,R16,RNAME5
P3,D73,DPT4746,DNAME1830,2019-08-03,DPT474620190803,D73,R16,RNAME5
P3,D73,DPT4717,DNAME1846,2019-08-03,DPT471720190803,D73,R16,RNAME5
P3,D73,DPT4717,DNAME1846,2019-08-03,DPT471720190803,D73,R16,RNAME5
P3,D73,DPT4717,DNAME1846,2019-08-03,DPT471720190803,D73,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4723,DNAME1840,2019-08-03,DPT472320190803,D57,R16,RNAME5
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
P3,D62,DPT4720,DNAME1847,2019-08-06,DPT472020190806,D73,R5,RNAME8
